price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
826.0,31.9,23.6,Unique,male,independent,other,signed,1.0,7.0,France,images_thesis\2202193_1_m.jpg
1938.0,47.2,39.4,Unique,female,gallery,acrylic,signed,0.0,3.0,Ukraine,images_thesis\2323476_1_m.jpg
2514.0,31.5,63.0,Unique,male,gallery,oil,signed,1.0,5.0,other,images_thesis\2291403_1_m.jpg
850.0,31.5,31.5,Unique,female,gallery,oil,signed,1.0,9.0,France,images_thesis\2323670_1_m.jpg
2000.0,23.5,31.2,Unique,male,gallery,other,signed,6.0,6.0,other,images_thesis\2318206_1_m.jpg
704.0,23.6,19.7,Unique,male,gallery,oil,signed,2.0,6.0,other,images_thesis\2136073_1_m.jpg
850.0,19.7,19.7,Unique,male,gallery,acrylic,signed,2.0,10.0,France,images_thesis\2250441_1_m.jpg
642.0,23.6,27.6,Unique,unknown,gallery,other,signed,16.0,1.0,Ukraine,images_thesis\2261644_1_m.jpg
1090.0,15.75,18.75,Unique,unknown,gallery,other,signed,5.0,4.0,United States,images_thesis\1791141_1_m.jpg
1260.0,25.6,31.5,Unique,female,gallery,oil,signed,2.0,1.0,Ukraine,images_thesis\2298443_1_m.jpg
1998.0,31.5,39.4,Unique,male,independent,oil,signed,15.0,5.0,other,images_thesis\1021875_1_m.jpg
3795.0,21.5,25.6,Unique,male,gallery,oil,signed,111.0,6.0,other,images_thesis\896508_1_m.jpg
1453.0,31.5,31.5,Unique,male,independent,oil,signed,1.0,1.0,other,images_thesis\2220643_1_m.jpg
1090.0,27.6,23.6,Unique,male,independent,other,signed,1.0,1.0,other,images_thesis\2267997_1_m.jpg
612.0,11.6,15.2,Unique,male,gallery,oil,signed,23.0,1.0,Ukraine,images_thesis\2325094_1_m.jpg
255.0,11.0,7.5,Unique,unknown,gallery,acrylic,signed,15.0,4.0,other,images_thesis\2215638_1_m.jpg
1166.0,35.4,19.7,Unique,female,gallery,acrylic,signed,2.0,5.0,other,images_thesis\2048355_1_m.jpg
800.0,27.6,27.6,Unique,female,gallery,acrylic,signed,1.0,1.0,other,images_thesis\2321900_1_m.jpg
1817.0,19.7,25.6,Unique,female,gallery,other,signed,9.0,8.0,France,images_thesis\2286568_1_m.jpg
1093.0,11.0,8.7,Unique,male,gallery,other,signed,7.0,9.0,Spain,images_thesis\415801_1_m.jpg
2672.0,19.7,59.1,Unique,female,gallery,acrylic,signed,1.0,9.0,France,images_thesis\2268909_1_m.jpg
1943.0,33.1,22.6,Unique,female,gallery,other,signed,5.0,9.0,Spain,images_thesis\1374543_1_m.jpg
2090.0,39.4,39.4,Unique,male,independent,acrylic,signed,2.0,3.0,other,images_thesis\2010153_1_m.jpg
4008.0,39.4,47.2,Unique,female,independent,oil,signed,2.0,3.0,other,images_thesis\1998672_1_m.jpg
606.0,11.8,15.7,Unique,unknown,gallery,other,signed,5.0,8.0,France,images_thesis\790434_1_m.jpg
